indicador,detalle,valor,total,fuente
n_documentos,,30,,Reporte OCR v5 (sec. 2)
cer_mediana,,0.005,,Reporte OCR v5 (tabla 3.4)
cer_iqr,,0.008,,Reporte OCR v5 (tabla 3.4)
cer_p90,,0.049,,Reporte OCR v5 (tabla 3.4)
cer_maximo,,0.275,,Reporte OCR v5 (tabla 3.4; Folio_18)
wer_mediana,,0.016,,Reporte OCR v5 (tabla 3.4)
wer_iqr,,0.042,,Reporte OCR v5 (tabla 3.4)
wer_p90,,0.074,,Reporte OCR v5 (tabla 3.4)
wer_maximo,,0.383,,Reporte OCR v5 (tabla 3.4)
operaciones,Sustitución,186,864,Reporte OCR v5 (figura 3 y tabla de operaciones)
operaciones,Omisión,578,864,Reporte OCR v5 (figura 3 y tabla de operaciones)
operaciones,Inserción,100,864,Reporte OCR v5 (figura 3 y tabla de operaciones)
entidades,fecha,4,5,Reporte OCR v5 (figura 5)
entidades,numero,90,127,Reporte OCR v5 (figura 5)
entidades,nombre_propio,209,223,Reporte OCR v5 (figura 5)
entidades,codigo_administrativo,11,11,Reporte OCR v5 (figura 5)
